date,twdol,usd_cad,usd_mxn,usd_cny
2020-01-01,115.2794,1.3089,18.8066,6.9184
2020-02-01,116.7105,1.3286,18.8423,6.9967
2020-03-01,121.0227,1.396,22.3785,7.0205
2020-04-01,123.2803,1.4048,24.1798,7.0708
2020-05-01,122.615,1.3972,23.5239,7.1016
2020-06-01,119.6766,1.3552,22.3069,7.0816
2020-07-01,118.69,1.3497,22.3952,7.0041
2020-08-01,116.9453,1.3229,22.2017,6.927
2020-09-01,116.3431,1.323,21.6613,6.8106
2020-10-01,115.7798,1.3218,21.2804,6.7254
2020-11-01,114.0984,1.3073,20.4566,6.6029
2020-12-01,111.8992,1.2809,19.9604,6.5393
2021-01-01,111.4873,1.2725,19.9412,6.4672
2021-02-01,112.0171,1.2696,20.3296,6.4601
2021-03-01,113.3366,1.2569,20.75,6.5109
2021-04-01,112.6323,1.2494,20.0376,6.5186
2021-05-01,111.2123,1.2125,19.9643,6.432
2021-06-01,111.5777,1.222,20.0314,6.425
2021-07-01,113.0633,1.253,19.9664,6.4763
2021-08-01,113.4025,1.2599,20.075,6.4768
2021-09-01,113.4438,1.2671,20.0461,6.4563
2021-10-01,114.0635,1.2434,20.4399,6.4172
2021-11-01,114.9898,1.2567,20.8698,6.3889
2021-12-01,115.8045,1.28,20.926,6.3693
2022-01-01,115.0373,1.2622,20.5073,6.3556
2022-02-01,114.9977,1.2711,20.4578,6.3436
2022-03-01,116.2908,1.266,20.5444,6.3446
2022-04-01,117.1688,1.2628,20.0908,6.431
2022-05-01,119.6962,1.2859,20.0575,6.699
2022-06-01,120.0257,1.2804,20.0101,6.6952
2022-07-01,122.7512,1.2936,20.5464,6.7352
2022-08-01,122.3177,1.2917,20.113,6.8007
2022-09-01,125.5946,1.3339,20.0689,7.0195
2022-10-01,127.4806,1.3689,19.9772,7.1902
2022-11-01,124.8527,1.3457,19.4543,7.1812
2022-12-01,122.2343,1.3585,19.6148,6.9717
2023-01-01,119.8101,1.3422,18.9705,6.7904
2023-02-01,120.3084,1.3454,18.6368,6.838
2023-03-01,120.745,1.3683,18.3892,6.8909
2023-04-01,119.2451,1.3484,18.0948,6.8876
2023-05-01,119.6293,1.3517,17.7489,6.9854
2023-06-01,119.2969,1.3286,17.2407,7.1614
2023-07-01,118.0492,1.3211,16.8929,7.1863
2023-08-01,119.8564,1.3478,16.9767,7.2486
2023-09-01,121.6455,1.3531,17.3067,7.2979
2023-10-01,123.4971,1.3712,18.0589,7.3071
2023-11-01,121.2221,1.3707,17.3594,7.2226
2023-12-01,119.8331,1.3416,17.1927,7.1402
2024-01-01,120.2274,1.3423,17.0932,7.1707
2024-02-01,121.0659,1.35,17.0937,7.1935
2024-03-01,120.6588,1.3536,16.7693,7.2015
2024-04-01,122.1428,1.3674,16.8008,7.2374
2024-05-01,121.8583,1.3667,16.8033,7.2327
2024-06-01,123.7095,1.3705,18.1946,7.2547
2024-07-01,123.3824,1.3714,18.1002,7.2609
2024-08-01,122.6137,1.3655,19.1382,7.1475
2024-09-01,121.8849,1.3546,19.5963,7.076
2024-10-01,123.5953,1.3757,19.7183,7.0881
2024-11-01,126.3113,1.3973,20.3381,7.2063
2024-12-01,127.5758,1.4247,20.2616,7.2807
2025-01-01,128.83690000000001,1.4389,20.5367,7.2957
2025-02-01,127.8758,1.4299,20.4728,7.2734
2025-03-01,126.243,1.4356,20.2235,7.2493
2025-04-01,124.1402,1.3981,20.0387,7.2968
2025-05-01,122.3422,1.3867,19.4573,7.2166
2025-06-01,120.5939,1.3668,19.0203,7.1803
2025-07-01,120.1127,1.3691,18.6886,7.1741
2025-08-01,120.5758,1.3797,18.7063,7.1727
2025-09-01,120.0291,1.3834,18.4789,7.1235
2025-10-01,120.7618,1.3988,18.4246,7.12
2025-11-01,121.4177,1.4056,18.4193,7.1069
2025-12-01,120.1883,1.3795,18.0708,7.0432
2026-01-01,119.2298,1.3771,17.6446,6.9692
2026-02-01,117.906,1.3648,17.228,6.9064
