"Date","Real imports","Imports trend","Real exports","Exports trend","Imports deviation from trend (%)","Exports deviation from trend (%)"
2023-01-01,230593,222306.196279864,144760,140361.433613573,3.7276530563745,3.13374284743808
2023-02-01,227250,223242.067609196,138984,140582.346848906,1.79533025908902,-1.13694705255125
2023-03-01,224390,224087.370745367,143297,140781.881384045,0.13504966996849,1.7865357326015
2023-04-01,229982,225023.2420747,137207,141002.794619378,2.20366477683855,-2.69199956612535
2023-05-01,225334,225928.924006312,139112,141216.581621313,-0.263323524833448,-1.49032188511474
2023-06-01,224763,226864.795335644,138824,141437.494856646,-0.926452838367653,-1.84780906880112
2023-07-01,227030,227770.477267256,140827,141651.281858581,-0.325098000469648,-0.581909212374243
2023-08-01,224833,228706.348596588,141508,141872.195093914,-1.69359032679086,-0.256706462935241
2023-09-01,226701,229642.219925921,142705,142093.108329247,-1.28078361499447,0.430627268238171
2023-10-01,229201,230547.901857533,144010,142306.895331182,-0.584217790177544,1.19678295619783
2023-11-01,224932,231483.773186865,139815,142527.808566515,-2.83033799590618,-1.90335387444689
2023-12-01,228362,232389.455118477,144885,142741.59556845,-1.73306276587456,1.50159764083768
2024-01-01,230216,233325.326447809,143279,142962.508803783,-1.33261420658721,0.2213805555493
2024-02-01,234159,234261.197777142,146557,143183.422039116,-0.0436255675765329,2.35612329475023
2024-03-01,231516,235136.690311033,142954,143390.082807653,-1.53982362609769,-0.304123408756285
2024-04-01,235938,236072.561640366,143167,143610.996042986,-0.0570001187053748,-0.309165770880848
2024-05-01,235532,236978.243571978,141770,143824.783044921,-0.610285379019837,-1.42867105475087
2024-06-01,237768,237914.11490131,144950,144045.696280254,-0.0614149779935458,0.627789474519735
2024-07-01,242101,238819.796832922,144311,144259.483282189,1.37392427704532,0.0357111481608774
2024-08-01,238665,239755.668162255,148682,144480.396517522,-0.454908186577851,2.90807859318727
2024-09-01,245806,240691.539491587,147494,144701.309752855,2.12490248689936,1.92996887997425
2024-10-01,234987,241597.221423199,141723,144915.09675479,-2.73605026757321,-2.20273582688983
2024-11-01,244755,242533.092752531,146085,145136.009990123,0.916125392313316,0.65386254585742
2024-12-01,253703,243438.774684143,141529,145349.796992058,4.21634775691522,-2.62869097248656
2025-01-01,285683,244374.646013476,142894,145570.710227391,16.9036987512389,-1.83876977944909
2025-02-01,282954,245310.517342808,146672,145791.623462724,15.3452379722421,0.603859478594493
2025-03-01,300358,246155.820478979,150810,145991.157997863,22.0194588190327,3.30077661429853
2025-04-01,240461,247091.691808312,156382,146212.071233196,-2.68349443875899,6.95560132691371
2025-05-01,241089,247997.373739924,147845,146425.858235131,-2.78566407205924,0.96918794396974
2025-06-01,230650,248933.245069256,146065,146646.771470464,-7.34463774180476,-0.396716180404255
2025-07-01,245921,249838.927000868,146694,146860.558472399,-1.5681811669221,-0.113412664456203
2025-08-01,229128,250774.7983302,145417,147081.471707732,-8.63196719699779,-1.13166647600537
2025-09-01,231589,251710.669659533,152930,147302.384943065,-7.99396771171818,3.82045074091
2025-10-01,221136,252616.351591145,157770,147516.171945,-12.4617236346185,6.95098572570294
2025-11-01,233624,253552.222920477,149093,147737.085180333,-7.85961278151649,0.917789069692532
2025-12-01,242150,254457.904852089,144231,147950.872182268,-4.83691196751905,-2.51426174607806
2026-01-01,238920,255393.776181421,154973,148171.785417601,-6.45034363316631,4.59008748746008

# Figure 15a. Trade Deviation from Trend
# Percent difference from pre-2025 trend
# Source: Census Bureau via Haver Analytics 
