"Date","Customs duties (nominal USD)","Customs duties (2025 USD)","2022-2024 average customs duties (2025 USD)"
2020-01-01,6918,8763.38282210016,7631.94495993192
2020-02-01,6286,7941.03290577475,7631.94495993192
2020-03-01,4815,6096.00284756794,7631.94495993192
2020-04-01,4114,5243.56930289521,7631.94495993192
2020-05-01,3833,4885.32065882977,7631.94495993192
2020-06-01,4480,5678.87446324046,7631.94495993192
2020-07-01,5013,6322.52752787523,7631.94495993192
2020-08-01,5896,7412.81619587716,7631.94495993192
2020-09-01,6049,7594.59991163363,7631.94495993192
2020-10-01,6156,7725.73413521361,7631.94495993192
2020-11-01,5965,7490.60452524507,7631.94495993192
2020-12-01,6047,7586.43432741848,7631.94495993192
2021-01-01,5871,7334.42949056128,7631.94495993192
2021-02-01,6323,7856.08961880356,7631.94495993192
2021-03-01,6275,7741.61544792489,7631.94495993192
2021-04-01,7128,8722.29391808398,7631.94495993192
2021-05-01,6433,7809.23830308884,7631.94495993192
2021-06-01,7150,8599.73186944232,7631.94495993192
2021-07-01,7509,8988.28424962363,7631.94495993192
2021-08-01,7270,8684.25998018767,7631.94495993192
2021-09-01,7857,9360.02969268346,7631.94495993192
2021-10-01,7770,9180.11724978217,7631.94495993192
2021-11-01,7816,9189.31440413315,7631.94495993192
2021-12-01,8187,9596.01722727957,7631.94495993192
2022-01-01,8587,9980.87411256705,7631.94495993192
2022-02-01,8049,9270.86405067039,7631.94495993192
2022-03-01,8151,9264.65209179698,7631.94495993192
2022-04-01,9162,10355.9701358311,7631.94495993192
2022-05-01,8095,9050.15660494841,7631.94495993192
2022-06-01,8364,9224.19262194114,7631.94495993192
2022-07-01,8530,9408.37614251576,7631.94495993192
2022-08-01,8456,9330.06256520726,7631.94495993192
2022-09-01,8741,9623.82309439099,7631.94495993192
2022-10-01,8163,8951.13604485725,7631.94495993192
2022-11-01,7171,7871.30887001152,7631.94495993192
2022-12-01,6552,7214.00593671769,7631.94495993192
2023-01-01,6838,7469.18417622088,7631.94495993192
2023-02-01,6349,6896.54954460843,7631.94495993192
2023-03-01,6152,6660.50875309771,7631.94495993192
2023-04-01,6350,6840.26974284933,7631.94495993192
2023-05-01,6373,6847.79978430064,7631.94495993192
2023-06-01,6475,6935.00642393374,7631.94495993192
2023-07-01,6910,7386.81986057817,7631.94495993192
2023-08-01,6325,6732.05241575632,7631.94495993192
2023-09-01,6678,7090.15016780977,7631.94495993192
2023-10-01,6903,7331.84750919001,7631.94495993192
2023-11-01,6296,6700.64047992027,7631.94495993192
2023-12-01,5744,6119.24210910656,7631.94495993192
2024-01-01,6477,6862.74247204272,7631.94495993192
2024-02-01,6208,6537.25849590431,7631.94495993192
2024-03-01,6064,6344.6084294917,7631.94495993192
2024-04-01,6367,6635.79450355289,7631.94495993192
2024-05-01,5225,5436.5493729085,7631.94495993192
2024-06-01,6323,6576.78540622265,7631.94495993192
2024-07-01,7133,7410.68673300693,7631.94495993192
2024-08-01,7047,7315.38486829566,7631.94495993192
2024-09-01,7249,7513.02553750226,7631.94495993192
2024-10-01,7297,7554.07694573977,7631.94495993192
2024-11-01,6712,6952.23323496876,7631.94495993192
2024-12-01,6814,7055.37931908557,7631.94495993192
2025-01-01,7341,7551.61372929855,7631.94495993192
2025-02-01,7247,7421.95076814111,7631.94495993192
2025-03-01,8168,8346.42972617175,7631.94495993192
2025-04-01,15634,15925.9236895837,7631.94495993192
2025-05-01,22173,22539.9461994307,7631.94495993192
2025-06-01,26632,26980.7512997542,7631.94495993192
2025-07-01,27670,27990.0849099824,7631.94495993192
2025-08-01,29503,29758.8026736548,7631.94495993192
2025-09-01,29675,29856.3573737685,7631.94495993192
2025-10-01,31354,31578.5776718928,7631.94495993192
2025-11-01,30756,31008.6925910614,7631.94495993192
2025-12-01,27892,28127.0628352065,7631.94495993192
2026-01-01,27742,27872.7554942014,7631.94495993192
2026-02-01,26594,26594,7631.94495993192

# Figure 1. Customs Duty Revenue (Inflation-Adjusted)
# Monthly federal customs duty revenue in 2025 dollars, deflated by CPI-U
# Source: U.S. Treasury via Haver Analytics, BLS CPI
# Note: October 2025 CPI interpolated (government shutdown delayed BLS release). 
