"Date","Import price index","Trend"
"Jan 2023",98.7411487018096,97.2288129798246
"Feb",98.426435877262,97.2809681073119
"Mar",97.7970102281668,97.3280759643971
"Apr",97.639653815893,97.3802310918844
"May",97.4822974036192,97.4307037959043
"Jun",97.1675845790716,97.4828589233915
"Jul",97.1675845790716,97.5333316274115
"Aug",97.0102281667978,97.5854867548987
"Sep",96.852871754524,97.6376418823859
"Oct",96.6168371361133,97.6881145864059
"Nov",96.852871754524,97.7402697138931
"Dec",96.852871754524,97.790742417913
"Jan 2024",97.4822974036192,97.8428975454003
"Feb",97.4822974036192,97.8950526728875
"Mar",97.639653815893,97.9438429534401
"Apr",98.1904012588513,97.9959980809274
"May",97.9543666404406,98.0464707849473
"Jun",98.1904012588513,98.0986259124345
"Jul",98.3477576711251,98.1490986164544
"Aug",98.3477576711251,98.2012537439417
"Sep",98.5837922895358,98.2534088714289
"Oct",98.8198269079465,98.3038815754489
"Nov",98.8985051140834,98.3560367029361
"Dec",99.0558615263572,98.406509406956
"Jan 2025",99.1345397324941,98.4586645344433
"Feb",99.2918961447679,98.5108196619305
"Mar",99.1345397324941,98.5579275190158
"Apr",99.3705743509048,98.610082646503
"May",99.213217938631,98.6605553505229
"Jun",98.9771833202203,98.7127104780102
"Jul",99.0558615263572,98.7631831820301
"Aug",98.9771833202203,98.8153383095173
"Sep",98.9771833202203,98.8674934370046
"Oct",99.2525570416995,98.9179661410245
"Nov",99.5279307631786,98.9701212685117
"Dec",100,99.0205939725317
"Jan 2026",100.393391030684,99.0727491000189

# Figure 8. Non-Petroleum Import Prices
# Index (Dec 2024 = 100) versus simple linear projection
# Source: Bureau of Labor Statistics via Haver Analytics
# Note: October 2025 import prices interpolated (government shutdown delayed BLS release). Simple linear projection based on 2023-2024 data. 
