"Date","Imported core goods deviation from trend (%)","Imported durables deviation from trend (%)"
2024-12-01,0,0
2025-01-01,0.108819106059932,0.125309217530289
2025-02-01,0.398052237560798,0.299542815063214
2025-03-01,0.331648231031667,0.664984341665931
2025-04-01,0.859317936894932,1.51883781822835
2025-05-01,0.997980405608678,1.55813654913277
2025-06-01,1.38173739278675,1.79964641739674
2025-07-01,1.45345736891254,1.93822386517086
2025-08-01,1.52208484939811,2.20163579569879
2025-09-01,1.93157351784485,2.37381297213262
2025-10-01,2.01816946128988,2.5168599852786
2025-11-01,2.0904704189102,2.63816568205475
2025-12-01,2.53479211112528,3.1269025750712
2026-01-01,2.86051396714504,3.41948466196325

# Figure 8. Imported PCE Goods Prices: Deviation from Trend
# Percent difference from trend (import-content-weighted index)
# Source: BEA PCE components via Haver Analytics; BEA I-O Tables; and The Budget Lab analysis 
