fig_id,embed_code,min_height,alt_text
F1,Sx7V4,452,Figure 1. Daily Effective Tariff Rate (Import-Weighted) (Line chart)
F2,LOBeQ,423,Figure 2. Effective Tariff Rate (Line chart)
F3,HUj1V,442,Figure 3. Customs Duty Revenue (Inflation-Adjusted) (Line chart)
F4,fMG7d,481,Figure 4. PCE Core Goods & Durables Prices (Line chart)
F5,WwAfY,504,Figure 5. PCE Goods Prices: Deviation from Trend (Grouped column chart)
F6,gFGab,468,Figure 6. Imported PCE Core Goods & Durables Prices (Line chart)
F7,eI4YL,504,Figure 7. Imported PCE Goods Prices: Deviation from Trend (Grouped column chart)
T1a,VRO87,426,Table 1a. Implied Passthrough -- Imported PCE Core and Durable Goods Prices (June 2025) (Table)
T1b,e3xRP,430,Table 1b. Implied Passthrough -- Imported PCE Core and Durable Goods Prices (Table)
F8,D1hao,487,Figure 8. Non-Petroleum Import Prices (Line chart)
F9,itKu3,453,Figure 9. Tariff-Exposed Employment Index (Line chart)
F10,wATUD,453,Figure 10. Manufacturing Tariff-Exposed Employment Index (Line chart)
F11,ylolw,440,Figure 11. Manufacturing Industrial Production (Line chart)
F12,OOsLi,452,Figure 12. Nominal Effective Exchange Rates (Daily) (Line chart)
F13,vMfoU,461,Figure 13. Real US Imports and Exports (Line chart)
F14,zjCNP,530,Figure 14. Trade Deviation from Trend (Grouped column chart)
F15,6fA3s,438,Figure 15. Cumulative Import Gap vs. Trend (Line chart)
FA1,0Gi6n,518,Figure A1. Daily Effective Tariff Rate by Authority (Stacked area chart)
TA1,my9Dq,370,Table A1. Implied Consumer Passthrough -- All PCE Goods (June 2025) (Table)
TA2,XsAII,392,Table A2. Implied Consumer Passthrough -- All PCE Goods (Table)
FA2,QLfvR,508,Figure A2. PCE Core Goods & Durables Prices (Log-Linear Trend) (Line chart)
FA3,JBzX3,531,Figure A3. PCE Goods Prices: Deviation from Log-Linear Trend (Grouped column chart)
