"","Inputs","","","Price Changes","","","Implied Passthrough","",""
"Category","Import share","Tariff increase","Expected effect","2025 Change","vs LP Trend","vs Log-Linear","2025 Change","vs LP Trend","vs Log-Linear"
"June 2025",,,,,,,,,
"Core Goods","32.1%","7.4 pp","2.4%","-0.5%","2.0%","1.7%","-20%","84%","73%"
"Durables","28.0%","7.4 pp","2.1%","-0.4%","2.5%","2.7%","-19%","121%","133%"
,,,,,,,,,
"January 2026",,,,,,,,,
"Core Goods","32.1%","8.0 pp","2.6%","0.3%","3.4%","2.8%","12%","133%","110%"
"Durables","28.0%","8.0 pp","2.2%","0.4%","4.1%","4.9%","18%","184%","218%"

# Table A1. Implied Consumer Passthrough -- All PCE Goods (June 2025)
# Source: Haver Analytics; USITC; The Budget Lab analysis 
